region,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,PERCOMP,PERCOOP,EUDMO,SWBP,GFOFAIL,BELONG,BEINGBULLIED,SC016Q01TA,SC016Q02TA,SC016Q04TA
Cordillera Administrative Region,3.122448979591837,3.2142857142857144,3.3195876288659796,3.3020833333333335,0.2984941747572815,0.1007478723404255,0.46280603448275864,0.2152285714285714,0.05789827586206897,-0.2586159292035398,1.3003084210526317,88.35537190082644,14.925925925925926,1.6528925619834711
National Capital Region,3.0881642512077296,3.238442822384428,3.238498789346247,3.290400972053463,0.34161694510739854,0.2621695388349514,0.4072445614035088,0.29976255924170614,0.2868038461538462,-0.22430590961761296,1.2165955610357584,78.43458475540386,23.00925925925926,2.2231985940246046
Negros Island Region,2.8805970149253732,3.0483271375464684,3.003731343283582,3.063197026022305,0.30682348754448396,0.1204984905660377,0.3557409090909091,0.23505649350649346,0.27911456310679617,-0.21600000000000003,1.2732181102362206,78.8,16.127329192546583,2.36144578313253
Region I,2.7829457364341086,2.926509186351706,2.921875,2.9714285714285715,0.2141360824742268,0.10658593749999996,0.34788,0.18371340206185563,0.16834522613065328,-0.27896104218362283,1.3883301587301589,90.16483516483517,12.997536945812808,0.9642857142857143
Region II,2.7409090909090907,2.870967741935484,2.9205607476635516,2.953917050691244,0.2034509009009009,0.0031679069767441563,0.3968995884773663,0.15223008130081297,0.20495829959514172,-0.25113198380566804,1.3545341232227488,77.95256916996047,10.268774703557312,1.9723320158102766
Region III,2.949367088607595,3.084076433121019,3.0638569604086845,3.094267515923567,0.2503653086419753,0.255387256176853,0.48137647740440326,0.39098054245283015,0.09328885017421604,-0.22620590961761297,1.2296525557011797,77.8120728929385,18.114421930870083,1.131761442441054
Region IV-A,2.974854932301741,3.1064453125,3.078048780487805,3.1518119490695398,0.27562473834443385,0.31360009900990093,0.4685860670194004,0.3189480717488789,0.09926939313984169,-0.16084814159292038,1.2904085487077535,82.13251961639058,14.728585178055823,1.4087048832271762
Region IV-B,2.8819875776397517,3.0125786163522013,2.968944099378882,3.00625,0.23945754189944132,0.26033670886075944,0.394432735426009,0.25075714285714285,0.0911048888888889,-0.25306422018348623,1.4717683544303797,81.74793388429752,10.365,2.73125
Region IX,2.7563451776649748,2.8974358974358974,2.8969072164948453,2.948717948717949,0.20543781094527364,0.002909374999999971,0.2970692640692641,0.23375784753363227,0.07345720524017468,-0.42585844155844155,1.2657298969072166,82.57142857142857,15.39795918367347,0.595
Region V,2.86784140969163,2.9624724061810155,3.0022075055187636,2.9866369710467704,0.12463017621145374,0.0859752252252252,0.3756831140350877,0.16701302428256068,0.14085555555555554,-0.32309569892473117,1.4028057208237987,80.56756756756756,6.927927927927928,1.240990990990991
Region VI,2.806282722513089,2.984168865435356,2.9657894736842105,2.9574468085106385,0.11124935064935065,0.015097340425531883,0.3816955112219451,0.21739183673469387,0.05221559405940594,-0.2668744471744472,1.1393220385674931,91.24817518248175,4.677506775067751,0.11382113821138211
Region VII,2.9591346153846154,3.0194174757281553,3.104368932038835,3.1359223300970873,0.2586032482598608,0.11625802469135799,0.35685,0.11863489932885905,0.30180462555066084,-0.28679361233480183,1.140478624078624,74.44060475161987,14.19438444924406,2.490084985835694
Region VIII,2.911504424778761,3.075221238938053,3.0533333333333332,3.0921052631578947,0.1628930612244898,0.02171176470588232,0.18585501618122977,0.061820529801324485,0.1806726688102894,-0.3149993377483444,1.1263666666666667,85.80508474576271,7.567796610169491,2.2275641025641026
Region X,2.88125,3.0,3.093167701863354,3.1132075471698113,0.22773647058823532,0.17363612903225803,0.41163385416666665,0.3175204188481675,0.14857395833333334,-0.14244020618556702,1.2533,97.01492537313433,2.7037037037037037,0.0
Region XI,2.915625,3.056603773584906,3.0094043887147337,3.0344827586206895,0.30895075987841947,0.19925696202531643,0.47196456456456454,0.3212740625,0.16206246246246248,-0.30626943620178043,1.1907722929936306,80.56104651162791,11.81686046511628,1.0203488372093024
Region XII,2.637037037037037,2.8265682656826567,2.740740740740741,2.8222222222222224,0.06924888888888889,-0.08650674157303373,0.29677664233576645,0.20392585551330797,0.07181598513011153,-0.37683309352517985,1.4543768060836502,80.33687943262412,11.687943262411348,2.031496062992126
Region XIII,2.689075630252101,2.8135593220338984,2.8739495798319328,2.9831932773109244,0.1012416,-0.017248275862069,0.2486047904191617,0.15668070175438595,0.14093333333333335,-0.39954201183431953,1.4779686956521738,86.57068062827226,12.490445859872612,0.0
