region,PROVINCE,BEINGBULLIED,PERCOMP,PERCOOP,GFOFAIL,EUDMO,SWBP,BELONG,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,SC001Q01TA,SC013Q01TA,SC016Q01TA,SC016Q02TA,SC016Q04TA,SC017Q01NA,SC017Q03NA,SC161Q01SA
Region I,Ilocos Norte,1.7405,0.202,-0.3047,-0.0845,-0.267,-0.5928,-1.0302,3.0,3.0,4.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,-0.7823,0.6912,0.6012,,0.2621,-0.5928,-0.7814,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,3.8591,0.6912,-1.4801,-0.2718,0.2621,0.1869,-0.9052,3.0,3.0,2.0,2.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,2.3772,-0.6142,-0.5107,-0.687,-0.267,0.1869,-0.5665,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,-0.7823,0.6912,-2.1428,-0.2006,0.2621,-0.5928,-0.7814,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,1.203,0.202,0.1463,-0.4678,-0.3564,-0.3236,-1.2022,1.0,3.0,3.0,2.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,3.8591,1.563,1.6762,1.1911,1.7411,-0.5928,-0.1769,4.0,4.0,4.0,4.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,,-1.2276,0.8219,0.1097,-0.1652,,-1.2748,3.0,3.0,2.0,4.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,-0.7823,-1.4753,0.7829,-1.1597,-0.8382,-3.0666,-0.2239,1.0,2.0,1.0,1.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,3.8591,-0.043,-0.5107,0.052,0.9269,0.6502,-0.7814,3.0,3.0,1.0,1.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,0.7703,0.2865,,0.4637,0.2621,-0.5928,-0.5707,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
